,RTE ,Street Name,From Adress,To Adress,Day,Time,Side,From Street,To Street,Optout
212,44,Piedmont,2300,2499.0,4th Wed,PM,W,Bancroft,Dwight,
213,34,Piedmont,2301,2499.0,4th Tue,PM,E,Bancroft,Dwight,
214,54,Piedmont,2500,2698.0,4th Thurs,AM,W,Dwight,Derby,
215,64,Piedmont,2501,2699.0,4th Fri,AM,E,Dwight,Derby,
216,24,Piedmont,2700,2898.0,4th Mon,AM,W,Derby,Russell,
217,44,Piedmont,2701,2899.0,4th Wed,AM,E,Derby,Russell,
218,63,Piedmont,2900,2998.0,3rd Fri,AM,W,Russell,Webster,
219,34,Piedmont,2901,2999.0,4th Tue,AM,E,Russell,Webster,2900
220,34,Pine,2900,2998.0,4th Tue,AM,W,Russell,Webster,
221,63,Pine,2901,2999.0,3rd Fri,AM,E,Russell,Webster,
222,22,Poe,1300,1398.0,2nd Mon,AM,S,Bonar,Dead End,
223,22,Poe,1301,1399.0,2nd Mon,AM,N,Bonar,Dead End,
224,43,Posen,1538,1598.0,3rd Wed,PM,S,City Limit,Monterey,1600
225,53,Posen,1537,1599.0,3rd Thurs,PM,N,City Limit,Monterey,
226,32,Prince,1400,1498.0,2nd Tue,AM,S,Acton,Sacramento,
227,42,Prince,1401,1499.0,2nd Wed,AM,N,Acton,Stanton,
228,31,Prince,1500,1898.0,1st Tue,AM,S,Sacramento,M L King,
229,21,Prince,1599,1821.0,1st Mon,AM,N,Sacramento,M L King,
230,33,Prince,2000,2398.0,3rd Tue,AM,S,Tremont,Dana,
231,23,Prince,2001,2499.0,3rd Mon,AM,N,Tremont,Dana,
232,63,Prince,2701,2899.0,3rd Fri,AM,N,College,Claremont,
233,44,Prospect,2350,2498.0,4th Wed,AM,W,Bancroft,Dwight,
234,34,Prospect,2301,2499.0,4th Tue,PM,E,Bancroft,Dwight,
235,64,Regent,2500,2698.0,4th Fri,AM,W,Dwight,Derby,
236,54,Regent,2501,2699.0,4th Thurs,AM,E,Derby,Dwight,
237,53,Regent,2800,2898.0,3rd Thurs,AM,W,Stuart,Ashby,
238,43,Regent,2801,2899.0,3rd Wed,AM,E,Stuart,Prince,2900
239,43,Regent,2700,2799.0,3rd Wed,AM,E/W,Stuart,N.Terminus,
240,63,Roanoke,19,49.0,3rd Fri,AM,E,Hillcrest Rd,City Limit,
241,34,Roanoke,70,122.0,4th Tue,AM,W,Hillcrest Rd,City Limit,
242,63,Roble Ct,6,16.0,3rd Fri,AM,S,Roble,Cul De Sac,
243,63,Roble Ct,5,17.0,3rd Fri,AM,N,Roble,Cul De Sac,
244,63,Roble Rd,26,58.0,3rd Fri,AM,W,Tunnel,City Limit,
245,34,Roble Rd,23,59.0,4th Tue,AM,E,Tunnel,City Limit,
246,51,Roosevelt,2100,2499.0,1st Thurs,AM,W,Addison,Dwight,
247,41,Roosevelt,2101,2499.0,1st Wed,AM,E,Addison,Dwight,
248,41,Rose,1200,1498.0,1st Wed,PM,S,Hopkins,Sacramento,
249,51,Rose,1201,1499.0,1st Thurs,PM,N,Hopkins,Sacramento,
250,52,Rose,1500,1998.0,2nd Thurs,PM,S,Sacramento,Milvia,
251,62,Rose,1501,1999.0,2nd Fri,PM,N,Sacramento,Milvia,
252,53,Rose,2300,2348.0,3rd Thurs,PM,S,Arch,Bayview,
253,43,Rose,2301,2349.0,3rd Wed,PM,N,Arch,Bayview,2300
254,63,Roslyn Ct,2,16.0,3rd Fri,AM,W,Chabolyn Ter,Cul De Sac,
255,63,Roslyn Ct,2,19.0,3rd Fri,AM,E,Chabolyn Ter,Cul De Sac,
256,42,Russell,1100,1498.0,2nd Wed,AM,S,San Pablo,Sacramento,
257,32,Russell,1101,1499.0,2nd Tue,AM,N,San Pablo,Sacramento,
258,21,Russell,1500,1998.0,1st Mon,AM,S,Sacramento,Milvia,
259,31,Russell,1501,1999.0,1st Tue,AM,N,Sacramento,Milvia,
260,23,Russell,2000,2698.0,3rd Mon,AM,S,Adeline,College,
261,24,Russell,2700,2798.0,4th Mon,AM,S,College,Piedmont,
262,44,Russell,2701,2799.0,4th Wed,AM,N,College,Piedmont,
263,24,Russell,2800,2894.0,4th Mon,AM,S,Piedmont,Kelsey,
264,44,Russell,2800,2818.0,4th Wed,AM,N,Piedmont,Kelsey,2800
265,44,Russell,3001,3099.0,4th Wed,AM,N,Claremont,Domingo,
266,43,Sacramento,2100,2198.0,3rd Wed,AM,W,Addison,Allston,
267,53,Sacramento,2101,2199.0,3rd Thurs,AM,E,Addison,Allston,
268,43,Sacramento,2400,2498.0,3rd Wed,AM,W,Channing,Dwight,
269,53,Sacramento,2401,2499.0,3rd Thurs,AM,E,Channing,Dwight,
270,24,San Antonio,1800,1898.0,4th Mon,PM,S,San Ramon,Arlington,1800
271,63,San Antonio,1801,1899.0,3rd Fri,PM,N,San Ramon,Arlington,
272,24,San Lorenzo,1515,1559.0,4th Mon,PM,N,City Limit,Peralta,1600-
273,63,San Lorenzo,1542,1598.0,3rd Fri,PM,S,City Limit,Peralta,1800
274,63,San Miguel,1720,1798.0,3rd Fri,PM,W,Thousand Oaks,Santa Rosa,
275,24,San Miguel,1721,1799.0,4th Mon,PM,E,Thousand Oaks,Santa Rosa,
276,61,Santa Fe,1200,1428.0,1st Fri,PM,W,City Limit,Cornell,
277,22,Santa Fe,1199,1401.0,2nd Mon,PM,E,City Limit,Cornell,
278,63,Santa Rosa,600,699.0,3rd Fri,PM,W,Menlo Pl,San Lorenzo,
279,24,Santa Rosa,601,749.0,4th Mon,PM,E,Menlo Pl,San Lorenzo,500-
280,41,Short,1600,1699.0,1st Wed,PM,E/W,Lincoln,Terminus,
281,41,Short,1800,1899.0,1st Wed,PM,E/W,Terminus,Hearst,
282,41,Spaulding,2100,2498.0,1st Wed,AM,W,Addison,Dwight,
283,51,Spaulding,2101,2499.0,1st Thurs,AM,E,Addison,Dwight,
284,61,Stannage,1200,1598.0,1st Fri,PM,W,City Limit,Hopkins,
285,22,Stannage,1201,1599.0,2nd Mon,PM,E,City Limit,Hopkins,
286,41,Stannage,1600,1698.0,1st Wed,PM,W,Hopkins,Virginia,
287,51,Stannage,1601,1699.0,1st Thurs,PM,E,Hopkins,Virginia,700
288,62,Stanton,2824,3098.0,2nd Fri,AM,W,Oregon,Prince,
289,52,Stanton,2825,3099.0,2nd Thurs,AM,E,Oregon,Prince,
290,43,Station Place,853,858.0,3rd Wed,PM,E/W,Catalina,Terminus,
291,31,Stuart,1501,1999.0,1st Tue,AM,N,Sacramento,Milvia,
292,23,Stuart,2000,2598.0,3rd Mon,AM,S,Milvia,Hillegass,
293,33,Stuart,2001,2599.0,3rd Tue,AM,N,Milvia,Hillegass,
294,63,Stuart,2600,2898.0,3rd Fri,AM,S,Hillegass,Kelsey,
295,34,Stuart,2601,2799.0,4th Tue,AM,N,Hillegass,Kelsey,
296,53,Sutter,1000,1198.0,3rd Thurs,PM,W,Del Norte,Eunice,
297,43,Sutter,1101,1199.0,3rd Wed,PM,E,Del Norte,Eunice,1100
298,61,Talbot,1200,1428.0,1st Fri,PM,W,City Limit,Santa Fe,
299,22,Talbot,1201,1399.0,2nd Mon,PM,E,City Limit,Santa Fe,
300,24,Tanglewood,10,28.0,4th Mon,AM,W,Belrose,Claremont Ave,
301,44,Tanglewood,2940,2998.0,4th Wed,AM,E,Belrose,Claremont Ave,
302,61,Tevlin,1200,1398.0,1st Fri,PM,W,Terminus,Watkins,
303,61,Tevlin,1201,1379.0,1st Fri,PM,E,Terminus,Watkins,
304,34,The Plaza,12,88.0,4th Tue,AM,S,Encina Pl,The Plaza,
305,34,The Plaza,13,89.0,4th Tue,AM,N,Parkside,The Plaza,
306,63,The Plaza,0,41.0,3rd Fri,AM,N,Encina Pl,Nogales,
307,63,The Plaza,41,131.0,3rd Fri,AM,E,Nogales,The Plaza,
308,63,The Plaza,128,155.0,3rd Fri,AM,S,The Plaza,Parkside,
309,34,The Uplands,26,225.0,4th Tue,AM,E,Claremont,Tunnel,
310,63,The Uplands,26,224.0,3rd Fri,AM,W,Claremont,Tunnel,
311,63,Thousand Oaks,1532,2098.0,3rd Fri,PM,S,City Limit,San Fernando,1500-
312,63,Thousand Oaks,2000,2098.0,3rd Fri,PM,S,San Fernando,Arlington,
313,24,Thousand Oaks,1531,2199.0,4th Mon,PM,N,City Limit,Arlington,1800
314,41,Tremont,3000,3199.0,1st Wed,AM,W,Emerson,City Limit,
315,51,Tremont,3001,3199.0,1st Thurs,AM,E,Emerson,City Limit,
316,21,Tyler,1500,1698.0,1st Mon,AM,S,Sacramento,King,1600
317,31,Tyler,1501,1699.0,1st Tue,AM,N,Sacramento,King,
318,24,Vallejo,1800,1898.0,4th Mon,PM,S,The Alameda,San Ramon,
319,63,Vallejo,1901,1999.0,3rd Fri,PM,N,The Alameda,San Ramon,
320,22,Valley,2300,2398.0,2nd Mon,AM,W,Dead End,Channing,1300
321,22,Valley,2400,2498.0,2nd Mon,AM,W,Channing,Dwight,
322,61,Valley,2401,2499.0,1st Fri,AM,E,Channing,Dwight,
323,34,Vicente,1,95.0,4th Tue,AM,E,Tunnel,City Limit,
324,63,Vicente,2,94.0,3rd Fri,AM,W,Tunnel,City Limit,
325,34,Vicente,150,181.0,4th Tue,AM,E,City Limit,Alvarado,
326,24,Vincente,801,899.0,4th Mon,PM,N,Ensenada,Peralta,600
327,62,Vine,1600,1998.0,2nd Fri,PM,S,McGee,Milvia,1700
328,52,Vine,1601,1999.0,2nd Thurs,PM,N,McGee,Milvia,1700
329,63,Vine,2300,2390.0,3rd Fri,PM,S,Arch,Hawthorne,
330,24,Vine,2301,2449.0,4th Mon,PM,N,Arch,Hawthorne,
331,21,Virginia,830,1098.0,1st Mon,PM,S,6th,San Pablo,
332,31,Virginia,831,1099.0,1st Tue,PM,N,6th,San Pablo,
333,41,Virginia,1100,1498.0,1st Wed,PM,S,San Pablo,Sacramento,
334,51,Virginia,1101,1499.0,1st Thurs,PM,N,San Pablo,Sacramento,
335,32,Virginia,1500,1698.0,2nd Tue,PM,S,Sacramento,Milvia,1600+
336,42,Virginia,1501,1999.0,2nd Wed,PM,N,Sacramento,Milvia,
337,33,Virginia,2000,2098.0,3rd Tue,PM,S,Milvia,Shattuck,
338,23,Virginia,2001,2099.0,3rd Mon,PM,N,Milvia,Shattuck,
339,41,Virginia Gardens,1600,1698.0,1st Wed,PM,W,Virginia,Terminus,
340,41,Virginia Gardens,1601,1699.0,1st Wed,PM,E,Virginia,Terminus,
341,43,Walker,2700,2722.0,3rd Wed,AM,W,Derby,Ward,
342,43,Walker,2701,2723.0,3rd Wed,AM,E,Derby,Ward,
343,62,Wallace,2724,2898.0,2nd Fri,AM,W,Ward,Russell,
344,52,Wallace,2725,2899.0,2nd Thurs,AM,E,Ward,Russell,
345,33,Walnut,1800,1898.0,3rd Tue,PM,W,Delaware,Hearst,
346,23,Walnut,1800,1899.0,3rd Mon,PM,E,Delaware,Hearst,
347,42,Ward,1100,1498.0,2nd Wed,AM,S,San Pablo,Sacramento,2700
